,Probabilities
0,0.10084899
1,0.013107871
2,0.25481075
3,0.026742506
4,0.057471236
5,0.103209138
6,0.078951108
7,0.008176588
8,0.02043037
9,0.004760542
10,0.09381612
11,0.04366929
12,0.004694465
13,0.299816792
14,0.327119238
15,0.260527691
16,0.137176058
17,0.014427898
18,0.25259397
19,0.003843644
20,0.003226397
21,0.082415471
22,0.202449288
23,0.024112044
24,0.384974063
25,0.011711447
26,0.248713096
27,0.049520344
28,0.294339456
29,0.003819686
30,0.018556146
31,0.339583762
32,0.48594474
33,0.009814626
34,0.023991931
35,0.171377225
36,0.437563415
37,0.271645066
38,0.010211273
39,0.16824685
40,0.018579669
41,0.504440218
42,0.527297098
43,0.436260142
44,0.194377848
45,0.027886808
46,0.302771933
47,0.082300172
48,0.002225305
49,0.078320013
50,0.005000928
51,0.015562227
52,0.063674388
53,0.023440798
54,0.007985374
55,0.003306854
56,0.013141784
57,0.012457125
58,0.213479151
59,0.163010454
60,0.013718018
61,0.662847126
62,0.275995681
63,0.036632536
64,0.177882336
65,0.477742802
66,0.606644004
67,0.083000764
68,0.505652169
69,0.057992127
70,0.018161505
71,0.017349865
72,0.005975424
73,0.009515747
74,0.010197725
75,0.258901858
76,0.021171201
77,0.557005336
78,0.080815499
79,0.003767674
80,0.001199892
81,0.002957266
82,0.067297369
83,0.211509241
84,0.022189936
85,0.02333231
86,0.408853267
87,0.120260839
88,0.032608796
89,0.408336555
90,0.622224307
91,0.19242806
92,0.130930111
93,0.005088356
94,0.011105149
95,0.013162466
96,0.058050522
97,0.003191445
98,0.408112148
99,0.017344887
100,0.010128206
101,0.00935282
102,0.098700204
103,0.006008406
104,0.020270695
105,0.006025046
106,0.168145773
107,0.022344317
108,0.121735532
109,0.008412271
110,0.018675903
111,0.398858681
112,0.029823693
113,0.104477531
114,0.006446036
115,0.269307847
116,0.139339419
117,0.019820169
118,0.472259402
119,0.105046935
120,0.030765628
121,0.018436656
122,0.005008658
123,0.308341276
124,0.16589475
125,0.332291171
126,0.035347284
127,0.17284716
128,0.042084162
129,0.128670384
130,0.222961013
131,0.323898253
132,0.46425206
133,0.002538732
134,0.005476023
135,0.093445268
136,0.003159396
137,0.00617029
138,0.232307911
139,0.020376531
140,0.637780714
141,0.57502512
142,0.010208375
143,0.025228362
144,0.052579511
145,0.008456386
146,0.582594244
147,0.436881288
148,0.017487143
149,0.023949413
150,0.018802573
151,0.025444824
152,0.01736248
153,0.071705948
154,0.162439793
155,0.151421914
156,0.027743537
157,0.007099322
158,0.619619258
159,0.000232741
160,0.195685264
161,0.154607182
162,0.069942215
163,0.056024647
164,0.140063328
165,0.077603309
166,0.007508821
167,0.021327776
168,0.46743427
169,0.248448161
170,0.010264492
171,0.513547824
172,0.00901073
173,0.020464091
174,0.179585952
175,0.027504346
176,0.152036604
177,0.004586925
178,0.047331599
179,0.014517042
180,0.017523042
181,0.008728348
182,0.013223604
183,0.131192467
184,0.574012919
185,0.422791334
186,0.114619242
187,0.0049993
188,0.747683941
189,0.006485566
190,0.24269444
191,0.24199379
192,0.016490661
193,0.154392207
